date,temp_mean,temp_hi,temp_lo,precip
2015-05-31,73.65652173913044,82,66.9,0.65
2015-06-01,55.41842105263158,71.1,48.9,0
2015-06-02,54.932432432432435,61,51.8,0.02
2015-06-03,61.04137931034483,71.1,54,0
2015-06-04,64.97916666666667,75.9,55.4,0
2015-06-05,67.825,81,60.1,1.97
2015-06-06,64.89782608695653,73.9,61,0
2015-06-07,69.49166666666666,82,55.9,0
2015-06-08,73.66129032258064,80.6,68,1.05
2015-06-09,66.41794871794872,73,62.1,0.28
2015-06-10,70.675,84.2,57.9,0
2015-06-11,77.94583333333333,88,69.1,0
2015-06-12,77.18214285714285,88,66.9,0.26
2015-06-13,74.03888888888889,82,69.1,0.1
2015-06-14,70.77674418604651,82,66.2,0.05
2015-06-15,71.6360655737705,82.9,66.9,12.49
2015-06-16,73.67872340425532,79,69.8,2.43
2015-06-17,68.23888888888888,73,59,0
2015-06-18,73.05227272727272,82.9,66.9,1.6400000000000001
2015-06-19,68.96578947368421,78.1,66,1.45
2015-06-20,69.62325581395349,77,64.9,1.61
2015-06-21,72.53846153846153,84,68,0.25
2015-06-22,74.82916666666667,84,66,0.02
2015-06-23,76.45333333333333,82.9,70,0.75
2015-06-24,69.0375,77,60.1,0
2015-06-25,67.02580645161291,73.9,62.1,0.7
2015-06-26,66.74423076923077,79,62.1,0.08
2015-06-27,66.99615384615385,75.9,64,4.13
2015-06-28,62.12380952380953,71.1,57.9,0.07
2015-06-29,63.025,75.9,54,0.05
2015-06-30,66.68571428571428,77,61,1.27
2015-07-01,64.58205128205128,75,59,0
2015-07-02,68.37777777777778,77,60.1,0
2015-07-03,68.04166666666667,77,57.9,0
2015-07-04,66.91470588235295,78.1,64,5.79
2015-07-05,70.139130434782615,80.1,60.1,0
2015-07-06,73.853125,79,69.1,0.21000000000000002
2015-07-07,73.05294117647058,84,66.2,0.16999999999999998
2015-07-08,69.46444444444444,71.6,64.9,1.17
2015-07-09,71.33793103448276,82,66.2,0.93
2015-07-10,66.91764705882353,73,63,0.21
2015-07-11,70.91923076923077,81,63,0
